COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808520937	"FORMICHI Fiorenzo-MEINI Giorgio-VENUTI Ivan"	"Corso di informatica"	"per Informatica"	"Seconda edizione"	"Volume 1"	2950	416	", , 197x265, 2018"
9788808663856	"FORMICHI Fiorenzo-MEINI Giorgio-VENUTI Ivan"	"Corso di informatica"	"per Informatica"	"Seconda edizione"	"Volume 2"	3280	472	", , 197x265, 2018"
9788808720566	"COMOTTI Francesco-MAURIZI Andrea-VITUCCI Francesco"	"Manabou! Nihongo"	"Corso di giapponese per principianti. Livello 1"		"Volume unico"	2610	200	", , 197x267, 2019"
9788808389985	"GHISLANZONI Elisabetta-MORSAN Silvia-PEREGO Natale"	"Un libro sogna"	"edizione rossa"		"Idee per imparare"	790	160	", , 197x266, 2019"
9788808674340	"GHISLANZONI Elisabetta-MORSAN Silvia-PEREGO Natale"	"Un libro sogna"	"edizione rossa"		"Narrativa, Attualità, Epica classica"	2290	704	", , 197x265, 2019"
9788808831460	"GHISLANZONI Elisabetta-MORSAN Silvia-PEREGO Natale"	"Un libro sogna"	"edizione rossa"		"Poesia, Teatro, Epica medievale e rinascimentale"	1860	544	", , 197x265, 2019"
9788808148032	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"PLUS Il corpo umano"	2700	304	"230x285, 2011"
9788808148056	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"Biologia molecolare, genetica ed evoluzione - Il corpo umano"	3970	440	"230x285, 2011"
9788808176233	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"Ambiente e sostenibilità"	1160	104	"230x285, 2011"
9788808188366	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"Biologia molecolare, genetica ed evoluzione - Il corpo umano"	3640	440	"230x285, 2011"
9788808188830	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"Biologia molecolare, genetica ed evoluzione"	1940	184	"230x285, 2011"
9788808189288	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"Il corpo umano"	2520	256	"230x285, 2011"
9788808348029	"BARNES N Sue-CURTIS Helena-FLORES Graciela-GANDOLA Laura-ODONE Roberto-SCHNEK Adriana"	"Invito alla biologia.blu"			"PLUS Biologia molecolare, genetica ed evoluzione"	2110	232	"300x285, 2011"
9788808621320	"NOSILIA Viviana"	"Polacco compatto"	"Dizionario Polacco-Italiano Italiano-Polacco"	"Terza edizione"	"Volume unico"	1740	504	", , 130x178, 2017"
9788808399953	"MENAGGIA Giorgio-RONCALLI Wilma"	"L'industria agroalimentare"		"seconda edizione"	"Volume 1"	2480	304	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 210x285, 2021"
9788808724694	"MENAGGIA Giorgio-RONCALLI Wilma"	"L'industria agroalimentare"		"seconda edizione"	"Volume 2"	3270	424	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 210x285, 2021"
9788808180421	"CANUTI Paolo-CRESCENTI Uberto-FRANCANI Vincenzo"	"Geologia applicata all'ambiente"			"Volume unico"	6100	448	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 197x270, 2008"
9788808159168	"ALBANESE Antonio"	"Art. 679-712"	"Revocazione delle disposizioni testamentarie, Sostituzione, Esecutori testamentari"		"Volume unico"	8970	432	", , 180x245, 2015"
9788808258281	"SAVOIA Leonardo M."	"Introduzione alla fonetica e alla fonologia"			"Volume unico"	4540	544	"170x240, 2014"
9788808012500	"BELLUZZI Odone"	"Scienza delle costruzioni"			"Vol. 1"	9750	700	"1.990 i., 147x210, 1989"
9788808012524	"BELLUZZI Odone"	"Scienza delle costruzioni"			"Vol. 2"	9900	764	"1.990 i., 180x253, 1989"
9788808012548	"BELLUZZI Odone"	"Scienza delle costruzioni"			"Vol. 3"	10700	770	"1.990 i., 182x253, 1989"
9788808012562	"BELLUZZI Odone"	"Scienza delle costruzioni"			"Vol. 4"	8050	450	"1.990 i., 180x255, 1989"
9788808431783	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2 Updated"	"ready for FIRST and INVALSI"		Workbook	1390	104	", , 230x285, 2019"
9788808469960	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2 Updated"	"ready for FIRST and INVALSI"		"Student's Book"	2580	224	", , 230x285, 2019"
9788808542700	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2 Updated"	"ready for FIRST and INVALSI"		"Be prepared for Invalsi"	930	128	", , 197x266, 2019"
9788808607003	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2 Updated"	"ready for FIRST and INVALSI"		"Confezione 12 CDaudio per la classe"	11420	0	", , 140x187, 2019"
9788808812568	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2 Updated"	"ready for FIRST and INVALSI"		"Confezione Student's Book + Worbook"	3710	328	", , 230x285, 2019"
9788808975454	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2 Updated"	"ready for FIRST and INVALSI"		"Inclusive Grammar level B2"	1330	136	", , 197x266, 2019"
9788808080189	"ARANEO Antonio"	"Chimica analitica qualitativa"	"Metodo periodale"	"Terza edizione"	"Volume unico"	7850	682	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 1993"
9788808019226	"SANTAGATA Carlo"	"Art. 1703-1709"	"MANDATO. DISPOSIZIONI GENERALI"	"1 ed."	"Volume unico"	8900	628	"175x250, 1985"
9788808368195	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2"		"seconda edizione"	"Student's Book"	2550	232	", , 230x285, 2022"
9788808699886	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2"		"seconda edizione"	"Confezione Student's Book + Workbook"	3690	336	", , 230x285, 2022"
9788808750938	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2"		"seconda edizione"	Workbook	1380	104	", , 230x285, 2022"
9788808877154	"LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina"	"Performer B2"		"seconda edizione"	"Audio per la classe su USB Student's Book + Workbook"	4000	0	", , 0x0, 2022"
9788808421326	"BIDOVEC Maria-PIRC Sanja-PULVIRENTI Luigi"	"Sloveno compatto"	"Dizionario Sloveno-Italiano Italiano-Sloveno"	"Quarta edizione"	"Volume unico"	1740	504	", , 130x178, 2017"
9788808263346	"GUERRA Simone"	Kanji	"Grande dizionario giapponese-italiano dei caratteri"		"Volume unico"	4100	1184	", , 160x220, 2015"
9788808200945	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.bianco			"Modulo E"	750	96	"197x266, 2012"
9788808230911	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.bianco			"Volume 2"	2470	496	"197x266, 2012"
9788808230935	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.bianco			"Volume 2 multimediale con risorse digitali su DVD-ROM"	2940	496	"197x266, 2012"
9788808400949	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.bianco			"Modulo H"	830	112	"197x266, 2012"
9788808500946	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.bianco			"Modulo I"	750	96	"197x266, 2012"
9788808407184	"ALTAVILLA Luigi-BARBONE Sandro"	"Chimica facile"		"Seconda edizione"	"Volume unico per l'indirizzo odontotecnico"	2270	296	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli editore, 197x265, 2017"
9788808788948	"ALTAVILLA Luigi-BARBONE Sandro"	"Chimica facile"		"Seconda edizione"	"Volume unico per gli indirizzi eno-gastronomico e socio-sanitario"	2270	296	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli editore, 197x265, 2017"
9788808920867	"ALTAVILLA Luigi-BARBONE Sandro"	"Chimica facile"		"Seconda edizione"	"Volume unico"	2100	264	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli editore, 197x265, 2017"
9788808436474	"ARPINATI Anna Maria-MUSIANI Mariarosa"	"Matematica in azione"		"Terza edizione"	"Confezione Algebra + Geometria 3"	2820	544	", , 210x285, 2015"
9788808936479	"ARPINATI Anna Maria-MUSIANI Mariarosa"	"Matematica in azione"		"Terza edizione"	"Volume Idee per imparare 3"	880	160	", , 210x285, 2015"
9788808059796	"FIORIN Maria Grazia"	"Biologia e microbiologia ambientale e sanitaria"		"Seconda edizione di Microbiologia - principi e tecniche"	"Volume unico con risorse digitali Scuolabook"	4290	576	"197x265, 2012"
9788808062369	"BRECCIA Umberto-DE VITA Anna-PIZZORUSSO Alessandro-ROMBOLI Roberto"	"Art. 1-10"	"PERSONE FISICHE"	"1 ed."	"Volume unico"	8650	736	"180x250, 1988"
9788808352729	"MARCHETTI Stefano-SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Terza edizione"	"Volume AutoCAD"	1030	112	", , 230x285, 2022"
9788808557315	"MARCHETTI Stefano-SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Terza edizione"	"Idee per imparare"	1060	224	", , 197x266, 2022"
9788808599940	"MARCHETTI Stefano-SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Terza edizione"	"Volume unico"	2790	512	", , 230x285, 2022"
